Date,Clicks,Impressions,CTR,Position
2026-06-02,0,1,0%,2
2026-06-03,0,5,0%,6.2
2026-06-04,0,17,0%,6
2026-06-05,0,3,0%,7
2026-06-06,1,5,20%,19
2026-06-07,0,5,0%,7.6
2026-06-08,1,9,11.11%,8.8
2026-06-09,0,29,0%,13.1
2026-06-10,1,38,2.63%,10
2026-06-11,0,23,0%,6.5
2026-06-12,1,15,6.67%,14.1
2026-06-13,0,1,0%,85
2026-06-14,0,3,0%,11.3
2026-06-15,0,4,0%,4.5
2026-06-16,1,6,16.67%,5.7
2026-06-17,2,4,50%,6.5
2026-06-18,2,6,33.33%,8.3
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,0,,
2026-06-22,1,1,100%,6
2026-06-23,0,0,,
2026-06-24,0,0,,
2026-06-25,0,1,0%,4
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,1,5,20%,7.4
2026-06-29,2,2,100%,6
2026-06-30,1,5,20%,7.2
2026-07-01,1,3,33.33%,5
2026-07-02,2,4,50%,6
2026-07-03,1,4,25%,4.8
2026-07-04,1,2,50%,8
2026-07-05,0,3,0%,5
2026-07-06,3,3,100%,3.7
2026-07-07,1,1,100%,1
2026-07-08,0,1,0%,10
2026-07-09,1,4,25%,1.5
2026-07-10,0,3,0%,15
2026-07-11,3,3,100%,2
2026-07-12,1,2,50%,1
2026-07-13,2,5,40%,4.4
2026-07-14,2,9,22.22%,8
2026-07-15,2,7,28.57%,2.6
2026-07-16,2,5,40%,5.8
2026-07-17,1,1,100%,1
2026-07-18,2,2,100%,1
2026-07-19,2,4,50%,1.8
2026-07-20,3,3,100%,1
2026-07-21,1,1,100%,1
2026-07-22,0,0,,
