Country,Clicks,Impressions,CTR,Position
India,43,163,26.38%,6.87
United States,1,32,3.12%,9.81
Brazil,1,11,9.09%,7.55
Kenya,0,5,0%,5.6
United Kingdom,0,5,0%,7.6
Netherlands,0,4,0%,6.75
United Arab Emirates,0,4,0%,7.25
Canada,0,3,0%,6.67
Germany,0,3,0%,52
Estonia,0,2,0%,3
Gabon,0,2,0%,6.5
Poland,0,2,0%,7.5
Australia,0,2,0%,10
Mauritius,0,2,0%,10
Turkey,0,1,0%,5
South Korea,0,1,0%,8
Russia,0,1,0%,8
Slovenia,0,1,0%,8
Tanzania,0,1,0%,8
China,0,1,0%,9
France,0,1,0%,9
Bahrain,0,1,0%,10
Chile,0,1,0%,10
Moldova,0,1,0%,10
Singapore,0,1,0%,10
Sweden,0,1,0%,10
Vietnam,0,1,0%,11
Nepal,0,1,0%,12
South Africa,0,1,0%,16
Ecuador,0,1,0%,27
Malaysia,0,1,0%,40
Argentina,0,1,0%,56
